%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	 ( A_young_girl  ( is dancing  )  ) 	 ( A_young_girl  ( is  ( standing  ( on  ( one leg  )  )  )  )  ) 	2.7	6592
NEUTRAL	 (  ( A man  )  ( is  (  ( falling off  )  (  ( a surfboard  )  ( in  ( the water  )  )  )  )  )  ) 	 (  ( A surfer  )  ( is  ( riding  ( the wave  )  )  )  ) 	3.5	7464
ENTAILMENT	 (  ( A man  )  ( is  ( walking  ( in  ( the rain  )  )  )  )  ) 	 ( It  ( is  ( raining  ( on  ( a  ( walking man  )  )  )  )  )  ) 	4.9	3670
NEUTRAL	 (  ( A  ( white dog  )  )  ( is  (  ( approaching  ( a  ( golden dog  )  )  )  ( on  ( pebbly beach  )  )  )  )  ) 	 (  ( Two dogs  )  ( are  ( playing  ( on  ( a  ( rocky beach  )  )  )  )  )  ) 	2.9	9036
ENTAILMENT	 ( A_man_and_a_woman  ( are  (  ( walking together  )  ( through  ( the woods  )  )  )  )  ) 	 ( A_man_and_a_woman  ( are  ( walking  ( through  ( a  ( wooded area  )  )  )  )  )  ) 	4.6	1192
NEUTRAL	 (  ( A woman  )  ( is  ( slicing  ( a carrot  )  )  )  ) 	 (  ( A potato  )  ( is  ( being  ( sliced  ( by  ( a woman  )  )  )  )  )  ) 	3	1170
NEUTRAL	 (  (  (  (  ( A  ( little boy  )  ) ,  )  ( who  ( looks fearful  )  )  ) ,  )  (  ( is  ( on  ( a  ( climbing wall  )  )  )  ) .  )  ) 	 (  ( A boy  )  (  (  ( is  (  ( climbing up  )  (  ( a wall  )  ( artificially  ( built  ( for climbing  )  )  )  )  )  ) and  )  ( is  ( attached  ( to  ( a rope  )  )  )  )  )  ) 	3.5	619
NEUTRAL	 ( A_dog  ( is  (  ( herding a_pack_of_white_sheep  ) on_a_dusty_farm  )  )  ) 	 ( A_dog  ( is  (  ( scattering a_pack_of_white_sheep  ) on_a_dusty_farm  )  )  ) 	3.8	6396
CONTRADICTION	 (  (  ( A man  )  ( in a_red_uniform  )  )  ( is making_a_jump_in_a_dirt_bike_race  )  ) 	 ( There  ( is  (  ( no man  )  ( in  ( a_red_uniform making_a_jump_in_a_dirt_bike_race  )  )  )  )  ) 	3.4	6971
NEUTRAL	 (  ( Two_men  ( in  ( a race  )  )  )  ( are  ( flipping  (  ( the tires  )  ( of  ( a tractor  )  )  )  )  )  ) 	 ( Two_men  ( are  ( competing  ( in  ( a  ( tire  ( rolling race  )  )  )  )  )  )  ) 	3.7	4411
ENTAILMENT	 ( A_girl  (  (  ( is  ( wearing  ( white clothes  )  )  ) and  ) is_dancing  )  ) 	 (  ( A_girl  ( in white  )  ) is_dancing  ) 	4.9	218
CONTRADICTION	 ( There  ( is  (  ( no woman  ) being_kissed_by_a_man  )  )  ) 	 (  ( A woman  )  ( is being_kissed_by_a_man  )  ) 	4.2	913
ENTAILMENT	 (  ( The woman  )  ( is  ( measuring  ( the  ( other woman  )  )  )  )  ) 	 (  ( A woman  )  ( is  ( being  ( measured  ( by  ( another woman  )  )  )  )  )  ) 	4.9	1333
ENTAILMENT	 ( A_black_and_white_dog  ( is  (  ( carrying  ( a  ( huge stick  )  )  )  ( on  ( the  ( green grass  )  )  )  )  )  ) 	 (  ( A_black_and_white_dog  ( with  ( a  ( large branch  )  )  )  )  ( is  ( running  ( in  ( the field  )  )  )  )  ) 	4.5	9713
NEUTRAL	 (  ( A man  )  ( is  ( playing  ( a trumpet  )  )  )  ) 	 (  ( The man  )  ( is  ( playing  ( a guitar  )  )  )  ) 	2.2	2485
NEUTRAL	 (  ( A cat  )  ( is  ( jumping  ( high  ( into  (  ( the air  )  ( in  ( the country  )  )  )  )  )  )  )  ) 	 (  ( A dog  )  ( is  ( jumping  ( in  (  ( the shade  )  ( of  ( some trees  )  )  )  )  )  )  ) 	1.6	9453
ENTAILMENT	 (  ( One man  )  ( is  ( doing  ( floor exercises  )  )  )  ) 	 (  ( A man  )  ( is  ( doing exercises  )  )  ) 	4.3	3598
NEUTRAL	 (  (  ( The man  )  ( dressed  ( in  (  ( leather_chaps and  ) a_purple_shirt  )  )  )  )  ( is  ( standing  ( in  ( front  ( of  ( someone lookers  )  )  )  )  )  )  ) 	 (  ( A man  )  (  (  ( is  ( wearing  (  ( a_purple_shirt and  )  ( black leather_chaps  )  )  )  ) and  )  ( is  ( posing  ( for  ( the camera  )  )  )  )  )  ) 	3.3	9401
NEUTRAL	 ( A_girl  (  (  ( is  ( standing  ( in  ( a group  )  )  )  ) and  )  ( is  ( wearing  (  (  ( a  ( black shirt  )  ) and  )  ( pink beads  )  )  )  )  )  ) 	 ( A_girl  ( has  (  ( colored patches  )  ( on  ( the cheeks  )  )  )  )  ) 	2.4	8212
